"","logFC","AveExpr","t","P.Value","adj.P.Val","Gene"
"219736_at",-0.8229992131976,6.06414752610223,0,0.733505437953393,1,"219736_at"
"206731_at",-0.777358695143024,7.1857476561006,0,0.734390407532711,1,"206731_at"
"209249_s_at",-0.793271479393796,8.71672652132096,0,0.734544286945322,1,"209249_s_at"
"221760_at",-0.811928688632944,6.9443820924468,0,0.737220820190319,1,"221760_at"
"203231_s_at",-0.782051573910214,6.68082914411928,0,0.737404532181236,1,"203231_s_at"
"204507_s_at",-0.825033865269612,4.87165146533888,0,0.74150654073119,1,"204507_s_at"
"203159_at",-0.791541645788676,10.0631887809195,0,0.746703578906375,1,"203159_at"
"207507_s_at",-0.770084230782182,8.79053378385458,0,0.748421737819131,1,"207507_s_at"
"216834_at",0.622121631700884,7.27923697516643,0,0.750656471731432,1,"216834_at"
"205113_at",-0.738895197439048,8.86605472462343,0,0.75230900523067,1,"205113_at"
"208743_s_at",-0.730332085618146,7.74078104988967,0,0.752804735165196,1,"208743_s_at"
"200664_s_at",-0.670082891104658,7.59621838007127,0,0.753330085167008,1,"200664_s_at"
"211936_at",-0.758800380696211,8.67045718951074,0,0.760592808155389,1,"211936_at"
"214111_at",-0.754815356686123,9.0075709743819,0,0.761181470179007,1,"214111_at"
"206700_s_at",-0.726227498007086,6.64719273649794,0,0.764183964545923,1,"206700_s_at"
"220979_s_at",-0.758638201488938,7.67344603709277,0,0.76446981408247,1,"220979_s_at"
"204540_at",-0.731667247993125,9.83800582072996,0,0.765515765248639,1,"204540_at"
"202154_x_at",-0.760406659971926,9.56985416310531,0,0.767157385114782,1,"202154_x_at"
"213423_x_at",-0.765499683219473,7.53570839326018,0,0.770552603956837,1,"213423_x_at"
"204749_at",-0.734445545510669,8.54964109032348,0,0.774167788280308,1,"204749_at"
"204793_at",-0.789861697527472,8.98226757379817,0,0.775643105695546,1,"204793_at"
"204953_at",-0.725666594270631,8.76714491505538,0,0.778181949405036,1,"204953_at"
